"fs_orleans" "g_faust" "g_iphigenia"
"einen" 0.112250822527579 0.209955101908976 0.157408014691415
"wer" 0.189665182891426 0.177654316999903 0.0918213419033252
"karl" 0.445132572092123 0 0
"wohl" 0.0425778982001161 0.24225588681805 0.170525349249033
"alle" 0.205148054964196 0.167964081527181 0.0393520036728537
"hand" 0.24385523514612 0.0613714913272392 0.177084016527842
"gott" 0.236113799109735 0.109822668690849 0.0852626746245163
"laß" 0.127733694600348 0.125973061145386 0.236112022037122
"muß" 0.14708728469131 0.177654316999903 0.0721453400668984
"allein" 0.0696729243274627 0.151813689072644 0.236112022037122
"dunois" 0.39094251983743 0 0
"kommt" 0.24385523514612 0.0969023547272199 0.0524693382304716
"leben" 0.123862976582156 0.125973061145386 0.196760018364268
"mehr" 0.197406618927811 0.122742982654478 0.0787040073457074
"einem" 0.116121540545771 0.151813689072644 0.150849347412606
"am" 0.0812850783820399 0.203494944927162 0.0852626746245163
"bist" 0.166440874782272 0.125973061145386 0.0983800091821342
"alles" 0.158699438745887 0.148583610581737 0.0459106709516626
"zur" 0.143216566673118 0.103362511709035 0.163966681970224
"vom" 0.0890265144184246 0.129203139636293 0.196760018364268
"bei" 0.135475130636733 0.158273846054459 0.0524693382304716
"gleich" 0.0774143603638475 0.171194160018088 0.12461467829737
"nichts" 0.119992258563964 0.158273846054459 0.0787040073457074
"hab" 0.108380104509386 0.135663296618108 0.12461467829737
"geht" 0.181923746855042 0.109822668690849 0.0393520036728537
"deine" 0.154828720727695 0.0872121192544979 0.12461467829737
"dieser" 0.150958002709503 0.0936722762363125 0.104938676460943
"margarete" 0 0.271326593236216 0
"dann" 0.0503193342365009 0.164734003036274 0.12461467829737
"hast" 0.131604412618541 0.113052747181757 0.0852626746245163
"jetzt" 0.22837236307335 0.0549113343454246 0.0393520036728537
"mann" 0.0541900522546932 0.135663296618108 0.163966681970224
"wieder" 0.092897232436617 0.125973061145386 0.118056011018561
"auftritt" 0.232243081091542 0 0.131173345576179
"burgund" 0.30965744145539 0 0
"welt" 0.0812850783820399 0.171194160018088 0.0393520036728537
"geist" 0.0580607702728856 0.177654316999903 0.0524693382304716
"sei" 0.116121540545771 0.0969023547272199 0.118056011018561
"kein" 0.14708728469131 0.0969023547272199 0.0590280055092805
"deinen" 0.131604412618541 0.0678316483090539 0.131173345576179
"ja" 0.0658022063092704 0.142123453599922 0.0852626746245163
"meinen" 0.0812850783820399 0.0710617267999612 0.190201351085459
"orest" 0 0 0.472224044074244
"ab" 0.131604412618541 0.0839820407635906 0.0721453400668984
"einer" 0.0967679504548094 0.0678316483090539 0.163966681970224
"la" 0.270950261273466 0 0
"seine" 0.127733694600348 0.0613714913272392 0.111497343739752
"ach" 0.0270950261273466 0.18088439549081 0.0327933363940447
"diesem" 0.131604412618541 0.0807519622726832 0.0590280055092805
"hire" 0.263208825237082 0 0
"brust" 0.108380104509386 0.0710617267999612 0.111497343739752
"immer" 0.0348364621637314 0.1324332181272 0.111497343739752
"meiner" 0.0812850783820399 0.0710617267999612 0.157408014691415
"seele" 0.0503193342365009 0.0484511773636099 0.255788023873549
"diesen" 0.131604412618541 0.0646015698181466 0.0787040073457074
"nie" 0.100638668473002 0.100132433218127 0.0590280055092805
